Item,Category,Qty_2425,Revenue_2425,Qty_2526,Revenue_2526,Growth_pct,ABC_Class,Forecast_Next_Month
Mobile Holder %18 %,Other,113,433326.75,825.0,9379710.1,2064.58,A,12.3
Blue Bird Stabilizer 4KVA-150V,Stabilizers,86,243135.71,109.0,299661.0,23.25,A,9.3
BBT-201 ANDROID PLAYER 2/35GB,Car Audio,30,139830.6,1.0,4661.02,-96.67,A,3.3
CP PLUS 2.4MP HD D/L AUD BULLET CAMERA,CCTV & Security,91,103559.45,106.0,118338.8,14.27,A,7.6
RD 1Door Central Lock Sys Flip Key C,Other,45,99661.03,42.0,92542.38,-7.14,A,3.8
"Pioneer 6"" Speaker 350W TS-1602IN",Car Audio,47,84406.74,430.0,748250.17,786.48,A,3.9
2MP IP Dual Light Audio Dome Hik,Other,30,83898.3,36.0,95084.7,13.33,A,2.5
4TB Survelliance HDD Purple WD,Other,7,80847.48,20.0,195254.23,141.51,A,0.6
WD 6TB SURVELLIANCE HDD PURPLE,Other,5,80125.42,,,,A,0.4
MAXXLINK 2+32 LIVERPOOL ANDROID,Car Audio,13,77118.6,6.0,36271.17,-52.97,A,1.1
Blue Bird Stabilizer 5KVA-150V,Stabilizers,23,74406.73,40.0,128406.67,72.57,A,
AUTO CRANK ANDROID PLAYER 4+64,Car Audio,13,71610.11,67.0,309440.79,332.12,A,
My Tvs Hyper Beam H4/H19 200W LED BULB,Other,22,70847.48,46.0,150000.03,111.72,A,
1TB SGT VIDEO HDD 2YR,Other,16,70357.62,170.0,634711.03,802.12,A,
Maxxlink R8 Led Bulb H7 180W,Other,20,67796.6,15.0,57457.64,-15.25,A,
2TB Survelliance HDD Purple WD,Other,8,60593.24,23.0,133209.29,119.84,A,
Blaupunkt Android Set Palm Bay (2+32),Car Audio,5,56779.67,19.0,211016.97,271.64,A,
Hikvision 64GB Micro Sd Card,CCTV & Security,55,56652.53,247.0,179165.67,216.25,A,
CP PLUS 2.4MP HD D/L AUD DOME CAMERA,CCTV & Security,50,56165.02,130.0,139131.23,147.72,A,
Blue Bird Stabilizer 4KVA-130V,Stabilizers,14,53220.39,7.0,26694.93,-49.84,A,
RD 4Door Central Lock Sys Flip Key G,Other,20,51271.24,30.0,76652.62,49.5,A,
PRAMA 2MP IP STQC BULLET CAMERA,CCTV & Security,20,50847.4,3.0,8008.48,-84.25,A,
RD FP TM01 NEXON FOG LAMP,Car Accessories,32,48813.44,53.0,78728.76,61.29,A,
"Pioneer 6"" Component Spk 390W",Car Audio,17,48220.33,77.0,209872.89,335.24,A,
500GB SGT VIDEO HDD 2YR,Other,23,46525.44,100.0,152941.55,228.73,A,
Baleno 2015-2022 Life Long Mate GFX,Car Accessories,21,44661.0,33.0,68984.26,54.46,A,
HIKVISION CAT-6 305MTR,CCTV & Security,1460,43880.5,305.0,9046.3,-79.38,A,
2TB HDD SGT VIDEO 2YR,Other,7,43135.58,51.0,258162.6,498.49,A,
WD PURPLE PRO 8TB WITH 7200 RPM,Other,2,41600.0,,,,A,
EXOTIC Slf Matt Pvc Floor Baleno/Glanza-16 BK(M),Car Accessories,29,41400.05,109.0,137372.53,231.82,A,
"Sony 6"" SPK W/O Grill 260W",Car Audio,20,38983.0,59.0,98323.66,152.22,A,
Auto Crank Android CAPAA 4+64 With Fan Mansor,Car Audio,6,38135.58,14.0,86864.38,127.78,A,
Maxxlink R8 Led Bulb 9012 180W,Other,11,37288.13,20.0,74576.3,100.0,A,
Block Buster Car Camera 720P AHD,CCTV & Security,53,35932.41,11.0,6822.0,-81.01,A,
RD 1Door Central Lock Sys Sada,Other,17,34067.86,36.0,72161.15,111.82,A,
2MP C/VU+Mic Bullet Camera Hik,CCTV & Security,20,33898.4,4.0,5847.46,-82.75,A,
D-Link CAT6 UTP CABLE 305MTR,Networking,1085,31038.2,11887.5,303154.92,876.72,A,
My Tvs Led Bulb H8 152W,Other,14,31016.95,34.0,73979.66,138.51,A,
HYP-LASVEGAS 300 CPAA 1K,Other,3,29661.02,2.0,21186.44,-28.57,A,
2MP IP Dual Light Audio Bullet Hik,Other,10,29661.0,13.0,30593.22,3.14,A,
EXOTIC Slf Matt Pvc Floor Ertiga-18-25 BLK (B),Car Accessories,16,29533.91,52.0,92076.35,211.76,A,
CP Plus 8CH DVR 2MP,CCTV & Security,9,29491.53,41.0,127542.43,332.47,A,
Maxxlink R8 Led Bulb H4 180W,Other,8,29152.52,15.0,58260.98,99.85,A,
TP-LINK 32CH NVR 4032H,CCTV & Security,2,27966.11,,,,A,
"ML 9"" 4+64 MADRID MAXXLINK PLAYER",Car Audio,3,27966.09,,,,A,
"JBL 400W 6.5"" SPK STAGE I 62F",Car Audio,14,26864.43,7.0,13728.8,-48.9,A,
4G Wifi Device 3 Antena Hi Focus,Other,21,26694.99,1.0,1271.19,-95.24,A,
FABRIC CURTAINS SunBan,Other,71,25380.68,517.0,157474.17,520.45,A,
My Tvs Tyre Inflator Anlog Heavy Duty,Other,15,25127.12,33.0,52839.04,110.29,A,
CP PLUS 8CH Power Supply,CCTV & Security,47,25127.08,156.0,85084.6,238.62,A,
VDP IP Hikvision KIS603-P,CCTV & Security,2,24576.28,2.0,23728.82,-3.45,A,
EXOTIC Slf Matt Pvc Floor Nexon-23 BLK (M),Car Accessories,18,24366.09,123.0,159236.94,553.52,A,
CP PLUS 16CH Power Supply,CCTV & Security,25,24364.5,35.0,34279.78,40.7,A,
Lumax Fog Lamp Wire H8 Relay With OE SWTCH,Car Accessories,53,24237.26,141.0,72415.16,198.78,A,
CP PLUS EZYKAM 3MP STQC WIFI PT CAMERA P34Q,CCTV & Security,14,23728.88,9.0,13813.57,-41.79,A,
CP Plus 4CH DVR 2MP,CCTV & Security,10,23559.31,39.0,81567.78,246.22,A,
My Tvs Air Champ Tyre Inflator,Other,23,22330.55,73.0,70212.05,214.42,A,
KINGSTON 110 2+64 ANDROID PLAYER,Car Audio,2,22033.9,,,,A,
CP PLUS 2MP IP STQC D/L BULLET,CCTV & Security,9,21906.77,26.0,62796.5,186.65,A,
Baleno 2022/ Fronx Wind Visor SL Galio,Car Accessories,25,21444.95,122.0,91192.57,325.24,A,
WOSCHER CORDLESS TYRE INFLATOR IX,Other,12,21355.92,3.0,5338.98,-75.0,A,
CP PLUS EZYKAM 4MP STQC WIFI C/VU OUTDOOR PT CAM,CCTV & Security,8,21101.67,15.0,38305.05,81.53,A,
"Nippon 6"" Speaker NFC-1601 200W",Car Audio,26,20804.97,181.0,141936.73,582.23,A,
Grand Vitara/Urban Cruiser/Hyryder Lifelongmate GFX,Car Accessories,9,20440.71,24.0,52194.49,155.35,A,
64GB Micro SDXC Card CP PLUS,CCTV & Security,30,20339.1,110.0,48957.62,140.71,A,
Hikvision 8CH DVR 5MP REG.,CCTV & Security,4,20339.0,22.0,111440.77,447.92,A,
"MAXXLINK ML 7022 HEAD REST SCREEN 10""",Other,2,20338.98,,,,A,
CP PLUS 4MP IP STQC D/L BULLET,CCTV & Security,5,19491.55,32.0,104025.4,433.69,A,
EXOTIC Slf Matt Pvc Floor Grand Vitara-22 BLK (M),Car Accessories,14,19366.11,36.0,44830.39,131.49,A,
VDP KIS205T HIKVISION,CCTV & Security,4,18644.08,5.0,24067.79,29.09,A,
SKYVISION BULLET CAMERA B4860M8L,CCTV & Security,1,18644.07,,,,A,
"JBL 6.5"" Component Spk Int S2604CFHI",Car Audio,5,18644.05,4.0,14915.24,-20.0,A,
ZDRIVE CAR STEERING WHEEL COVER,Other,43,18643.22,129.0,51737.63,177.51,A,
EXOTIC Slf Matt Pvc Floor Punch-21 BK(M),Car Accessories,13,18264.42,66.0,86440.5,373.27,A,
2MP Bullet+Mic Dual Light 3.6MM HIK,Other,14,17796.66,197.0,270032.28,1417.32,A,
Ertiga 2018 Life Long Mate GFX,Car Accessories,6,17750.0,6.0,18609.65,4.84,A,
EXOTIC slf matt Pvc Floor Brezza-22 BK(M),Car Accessories,13,17416.94,68.0,83898.07,381.7,A,
CP PLUS EZYKAM STQC 2MP WIFI PT CAM,CCTV & Security,12,17330.53,5.0,6949.14,-59.9,A,
Toreto Juke Box with Karoke Mic BT Spk,Other,10,16949.2,1.0,1864.41,-89.0,A,
EONSECURE CAT-6 COPPER CABLE 24AWG 305MTR,Networking,2,16949.16,,,,A,
Maxxlink R8 Led Bulb HB3/9005 180W,Other,5,16949.15,10.0,34745.76,105.0,A,
Ahuja PA400S Mobile PA Amplifiers,Other,5,16779.66,22.0,69491.46,314.14,A,
CP PLUS 2MP IP STQC D/L DOME,CCTV & Security,7,16737.27,44.0,104406.72,523.8,A,
16CH DVR 2MP Upto 5MP CP PLUS,CCTV & Security,2,16525.43,2.0,14830.5,-10.26,A,
"INFINITY ALPHA 6"" SPK 6520F",Other,10,16186.43,68.0,111059.33,586.13,A,
Ertiga 2018 Side Cladding GFX,Other,8,15864.4,1.0,1984.38,-87.49,A,
RD Fog Lamp Tata Punch 05,Car Accessories,12,15847.48,32.0,22584.81,42.51,A,
Aura Door Visor SL Galio,Car Accessories,16,15635.63,47.0,37138.52,137.52,A,
HDD Surveillance 1TB Seagate,Other,3,15254.25,3.0,11228.8,-26.39,A,
My Tvs Hyper Beam 9012/HB12 200W Led Bulb,Other,5,15254.25,5.0,15593.23,2.22,A,
PRAMA 4MP IP STQC BULLET CAMERA,CCTV & Security,4,15254.24,,,,A,
"Pioneer 6"" Speaker 300W 1620S",Car Audio,10,15254.2,154.0,236979.19,1453.53,A,
Fronx Compact Combo Kit GFX,Other,10,15148.3,14.0,24776.66,63.56,A,
JBL 1500W Base Tube GTX-1500THI,Car Audio,2,14915.26,4.0,28813.56,93.18,A,
Toreto Party Speaker Dual-UP 220W,Car Audio,1,14830.51,,,,A,
RD 4Door Central Lock Sys Sada,Other,6,14576.25,6.0,14406.76,-1.16,B,
Baleno 2022 Compact Combo Kit GFX,Other,5,14491.54,9.0,23912.63,65.01,B,
3K Dome Audio Dual Light Camera HIK,CCTV & Security,9,14491.53,143.0,222711.69,1436.84,B,
Blue Bird Stablizer 0.5 KVA-150V,Other,11,14237.32,,,,B,
"Maxxlink 9"" Classic Edition Player",Car Audio,3,13983.06,54.0,219406.87,1469.09,B,
2MP Bullet Camera Dahua 3.6mm,CCTV & Security,15,13983.0,,,,B,
BILL COUNTER - BM 106,Other,3,13898.31,7.0,32457.64,133.54,B,
Vista Aura Spray Hanging 30ML MIX Flavour,Other,50,13559.5,1.0,271.19,-98.0,B,
CP PLUS EZYKAM 3MP STQC WIFI PT CAMERA E38Q,CCTV & Security,8,13559.36,2.0,3135.6,-76.88,B,
Maxxlink R8 Led Bulb H8 180W,Other,4,13559.32,5.0,17457.63,28.75,B,
Tata Punch Life Long Mate GFX,Car Accessories,6,13491.54,23.0,52103.57,286.19,B,
CP PLUS EZYKAM 4MP STQC WIFI C/VU PT CAMERA Z45Q,CCTV & Security,5,13474.57,5.0,13050.85,-3.14,B,
EXOTIC Slf Matt Pvc Floor Aura/Nios/Exter BLK (S),Car Accessories,9,12881.37,47.0,60084.87,366.45,B,
NFS Spectra Led Bulb 260W H4/19,Other,3,12881.36,18.0,80847.46,527.63,B,
2MP HD Dome Aud Camera Dahua,CCTV & Security,15,12711.9,2.0,1652.54,-87.0,B,
RD Fog Lamp Swift 2024 FLAMS01,Car Accessories,12,12288.14,2.0,2161.01,-82.41,B,
Portronics Car Power Retracto 84W Car Charger,Other,17,12245.78,3.0,2118.65,-82.7,B,
CP PLUS 8CH NVR 108F1,CCTV & Security,3,12203.4,15.0,54237.27,344.44,B,
Swift 2024 Window Garnish GFX,Other,21,12076.25,10.0,5569.06,-53.88,B,
PVC BOX 5X5 CCTV,CCTV & Security,268,12054.21,1287.0,53081.88,340.36,B,
EXOTIC SLF MAT PVC FLOOR THAR ROXX (M),Car Accessories,9,12033.88,1.0,1101.69,-90.85,B,
2MP Dome+Mic Dual Light 3.6MM HIK,Other,10,11864.4,237.0,303404.7,2457.27,B,
TORETO PROJECTOR PRISMO,Other,2,11864.4,3.0,16101.7,35.71,B,
EXOTIC Slf Matt Pvc Floor Wagnor-19 BK(S),Car Accessories,9,11808.49,43.0,52881.47,347.83,B,
"UNPLUG BLOCKBUSTER 9"" Android 1/32",Car Audio,3,11440.68,1.0,3813.56,-66.67,B,
CP Plus 3MP P/T Wifi Camera,CCTV & Security,5,11355.92,15.0,23474.63,106.72,B,
TP-LINK POE SWITCH 8+2 LS110P,Networking,6,11186.46,38.0,71610.27,540.15,B,
RD Negative Door Lock Flip Key (NG),Other,5,11059.32,1.0,2161.02,-80.46,B,
ERTIGA 2025 WIND VISOR SL GALIO,Car Accessories,10,10966.08,23.0,19004.25,73.3,B,
"HYP-8"" Active Bass Tube",Other,4,10762.7,1.0,2542.37,-76.38,B,
Ahuja PA Horn Speaker SUH15,Car Audio,9,10762.7,11.0,13305.09,23.62,B,
Hikvision 4CH DVR 2MP REG.,CCTV & Security,3,10677.96,18.0,60847.45,469.84,B,
CP Plus 3+1 CCTV Wire,CCTV & Security,810,10508.5,4371.0,52683.53,401.34,B,
"INTEX LED MONITOR 22"" HDMI",Other,4,10338.97,,,,B,
Blue Bird Stabilizer 4KVA-150V HLC,Stabilizers,3,10325.42,5.0,15508.47,50.2,B,
EXOTIC Slf Matt Pvc Floor Scorpio 17-21 BLK (B),Car Accessories,6,10296.6,22.0,37457.64,263.79,B,
1TB Survelliance HDD Purple WD,Other,2,10169.5,8.0,29152.54,186.67,B,
Hikvision 8CH DVR 2MP ECO,CCTV & Security,3,10169.49,27.0,89576.26,780.83,B,
Toreto Car Charger Turbo Lite 51W,Other,22,10127.08,179.0,89982.93,788.54,B,
Amazon Fire Tv Stick,Other,4,9915.26,12.0,27881.36,181.2,B,
INTEX CCTV CABLE 3+1 90MTR,CCTV & Security,9,9745.76,5.0,4703.39,-51.74,B,
Hikvision 4CH DVR 2MP ECO,CCTV & Security,4,9661.01,21.0,48983.04,407.02,B,
"INTEX LED MONITOR 18.5"" INCH",Other,5,9576.28,11.0,19449.16,103.1,B,
2MP HD Bullet Aud Camera Dahua,CCTV & Security,10,9322.0,3.0,2796.6,-70.0,B,
CP PLUS 4CH Power Supply,CCTV & Security,24,9195.01,207.0,83587.59,809.05,B,
CP PLUS EZYKAM 3MP 4G CAMERA P/T 360,CCTV & Security,3,9152.55,1.0,3050.85,-66.67,B,
Woscher Tyre Inflator DB 678S,Other,6,9110.15,,,,B,
Tata Punch Wind Visor SL Galio,Car Accessories,10,9080.49,46.0,45956.53,406.1,B,
4G Router Real Time W8 Plus,Networking,5,9067.79,,,,B,
EXOTIC Slf Matt Pvc Floor Sonet-20 BK(M),Car Accessories,7,9027.11,29.0,36355.84,302.74,B,
My TVS 3 IN 1 Vacuum Cleaner & Tyre Inflator,Other,5,9025.42,10.0,17796.6,97.18,B,
Blue Bird Stabilizer 5KVA-130V,Stabilizers,2,8983.06,2.0,8644.06,-3.77,B,
Wagnor 2019 Onward Life Long Mate GFX,Car Accessories,4,8915.26,14.0,36273.6,306.87,B,
HONEY WELL CAT-6 SOLID CABLE 305MTR,Networking,1,8898.31,,,,B,
Nexon-2020 Life Long Mate GFX,Car Accessories,4,8847.46,29.0,71856.74,712.17,B,
My Tvs MP3 Player TMP-54,Car Audio,8,8813.52,14.0,15255.88,73.1,B,
EXOTIC Slf Matt Pvc Floor Creta-20 BLK (M),Car Accessories,7,8772.87,31.0,38474.47,338.56,B,
Auto Crank AHD Camera,CCTV & Security,13,8644.1,25.0,17686.49,104.61,B,
Maxxlink Android Single Knob Discovery 2/64,Car Audio,1,8644.07,,,,B,
64GB Sandisk Ultra Flair USB 3.0 (150Mbps),Other,15,8517.0,2.0,847.46,-90.05,B,
3K Bullet Audio Dual Light Camera HIK,CCTV & Security,5,8474.6,147.0,237161.11,2698.49,B,
"HYP-MONACO 500 CPAA 1.5K 9.21""",Other,1,8474.58,,,,B,
BLAUPUNKT LED 12X PRO HP-H4/H19 (180W),Other,2,8474.57,3.0,14745.75,74.0,B,
INFINITY ALPHA 603F COAXIAL (N),Other,4,8474.56,,,,B,
Toreto Dash Pro T-C Data Cable 100W,Other,54,8237.16,19.0,2898.26,-64.81,B,
Wagnor 2019 Roof Rail Galio,Other,7,8161.02,2.0,2394.07,-70.66,B,
3TB HDD SGT VIDEO 2YR,Other,1,8050.85,8.0,36949.16,358.95,B,
IP Fingerprint Reader AIFACE1500 (SC-S-B253CB),Other,1,7627.12,,,,B,
Blue Bird Stabilizer 4KVA-100V HLC,Stabilizers,1,7627.12,,,,B,
RD Dash Camera 3 WAY DC-07S,CCTV & Security,1,7627.12,6.0,45466.1,496.11,B,
"ZEB. PROJECTOR SCREEN MANUAL 84"" 6X4",Other,3,7627.11,,,,B,
Tekba Led Wall Mount T121,Other,50,7627.0,,,,B,
RD Dash Camera DC-04,CCTV & Security,1,7457.63,1.0,7796.61,4.55,B,
BILL COUNTER BM-200 SILVER,Other,1,7203.39,,,,B,
Nexon Wind Visor SL Galio,Car Accessories,8,7152.52,83.0,66061.0,823.6,B,
MAXX LINK HORN ML825,Other,10,7118.66,26.0,18135.66,154.76,B,
NFS ORCA 180W H4 LED HEADLAMPS,Other,2,7118.64,1.0,3728.81,-47.62,B,
EXOTIC Slf Matt Pvc Floor Bolero Neo BLK (B),Car Accessories,4,6949.15,2.0,3728.82,-46.34,B,
Sonet Onward Life Long Mate GFX,Car Accessories,3,6864.42,12.0,25639.31,273.51,B,
Brezza 2022 Wind Visor SL,Car Accessories,8,6783.91,44.0,35443.79,422.47,B,
3K C/VU Bullet Camera Hik 3.6MM,CCTV & Security,4,6779.68,42.0,85254.2,1157.5,B,
"LED TV 32"" SMART",Other,1,6779.66,3.0,20338.98,200.0,B,
EZVIZ WIFI 4MP CS-C6 2K+,Other,2,6779.66,,,,B,
Blockbuster 220W CAR LED BULB 9005/HB3,Other,2,6779.66,10.0,31864.39,370.0,B,
EXOTIC slf matt Pvc Floor Swift 2018 BK(S),Car Accessories,5,6779.66,49.0,57711.94,751.25,B,
CP PLUS 4CH DVR 5MP,CCTV & Security,2,6779.66,7.0,22288.14,228.75,B,
Brezza 2022 Life Long Mate GFX,Car Accessories,3,6711.87,14.0,29789.5,343.83,B,
SCORPIO-N DELTA TOWEL COVER MIX COLOUR,Other,2,6514.28,,,,B,
Lumax Fog Lamp Swift 2018 WT BLB,Car Accessories,13,6440.66,90.0,41949.0,551.32,B,
Tekba Led Wall Mount T112,Other,50,6356.0,,,,B,
TP-LINK POE SWITCH 4+2 LS106LP,Networking,5,6355.95,10.0,12711.9,100.0,B,
