Item,Category,Qty_2425,Revenue_2425,Qty_2526,Revenue_2526,Growth_pct,ABC_Class,Forecast_Next_Month
Brezza-2022 Window Frame Kit GFX,Other,3,1686.45,14.0,6934.12,311.17,C,
DZIRE 2017 BLACK REAR GUARD GALIO,Car Accessories,1,1652.54,1.0,1949.15,17.95,C,
Ertiga 2018 Rear Guard CNG Galio,Car Accessories,1,1652.54,1.0,1779.66,7.69,C,
XUV 3XO Roof Rail Galio,Other,1,1652.34,,,,C,
Brezza 2022 Black Rear Guard Galio,Car Accessories,1,1640.63,1.0,1640.63,0.0,C,
"Tata Punch Circle Rear Smart Guard 2""",Car Accessories,1,1640.63,,,,C,
EXTER Oval Rear Guard Galio,Car Accessories,1,1640.63,1.0,2539.06,54.76,C,
Ertiga 2018 Window Garnish GFX,Other,2,1635.6,7.0,3657.98,123.65,C,
Aer Twist Mix Flafour,Other,6,1627.14,94.0,25491.86,1466.67,C,
CP PLUS 5MP IP SIL D/L A DOME,CCTV & Security,1,1610.17,,,,C,
ZDRIVE CAR HORN SET,Other,2,1610.16,27.0,21821.91,1255.26,C,
EXTER SPOILER BLACK GALIO,Other,1,1576.27,1.0,1432.2,-9.14,C,
TECHO Number Plate Frame,Other,7,1546.58,10.0,2145.88,38.75,C,
Baleno 2022 Window Frame Kit GFX,Other,2,1525.43,20.0,14241.1,833.58,C,
My Tvs Ampkit (TWK-56 8G) Wiring Kit,Other,2,1525.42,4.0,3050.84,100.0,C,
SW-0191P MM SPEAKER USBFTBT ECHOLITE 191P-4W (FT),Car Audio,1,1525.42,,,,C,
5MP HD D/L Aud Bullet CP Plus,CCTV & Security,1,1525.42,16.0,24194.87,1486.11,C,
CP PLUS 2.4MP HD C/VU AUD BULLET TWO WAY,CCTV & Security,1,1525.42,,,,C,
Toreto Braided Cable Edge 2,Other,10,1525.4,,,,C,
Ertiga 2018 Tail Light Chrome Galio,Other,1,1483.05,1.0,757.03,-48.95,C,
Brezza-2022 Mud Flap TECHO,Other,7,1483.02,31.0,7534.44,408.05,C,
VICTORIS 2025 WINDOW FRAME KIT GFX,Other,2,1474.58,1.0,550.85,-62.64,C,
EXOTIC Slf Matt Pvc Floor Altroz-20 BK(M),Car Accessories,1,1440.68,3.0,4067.79,182.35,C,
Exotic Slf Mate Pvc Floor Punch EV-24 BK (M),Car Accessories,1,1440.68,5.0,5508.45,282.35,C,
CP PLUS Micro Sd Card 128GB,CCTV & Security,1,1440.68,4.0,3305.08,129.41,C,
CP PLUS EZYKAM STQC 2MP WIFI PT CAMERA,CCTV & Security,1,1440.68,15.0,21610.2,1400.0,C,
EXOTIC Slf Pvc Matt Alto-800-19 BK(S),Car Accessories,1,1440.68,,,,C,
5MP BULLET+AUDIO CAMERA CP PLUS,CCTV & Security,1,1440.68,1.0,1483.05,2.94,C,
EXOTIC Slf Matt Pvc Floor EXTER-2023 BLK (M),Car Accessories,1,1440.68,1.0,1355.93,-5.88,C,
EXOTIC Slf Matt Pvc Floor Magnite/Kiger-21 BK(M),Car Accessories,1,1440.68,3.0,3559.31,147.06,C,
Venue Side Beading Chrome GFX,Other,1,1432.2,3.0,3898.31,172.19,C,
VENUE 2025 SIDE BEADING,Other,1,1432.2,,,,C,
Alto K-10 2022 WIND VISOR SL Galio,Car Accessories,2,1427.96,28.0,198094.72,13772.57,C,
Wagnor-2019 Mud Flap TECHO,Other,5,1415.26,11.0,2869.3,102.74,C,
EXOTIC slf matt Pvc Floor Venue BK(M),Car Accessories,1,1400.0,18.0,22881.3,1534.38,C,
RJ 45 Connector D-Link,Other,327,1386.48,2733.0,12139.52,775.56,C,
Nexon Rear Parcel Tray GFX,Other,1,1377.12,5.0,5477.11,297.72,C,
FRONX Trunk Door Garnish GFX,Other,2,1367.18,10.0,4445.3,225.14,C,
Exotic Slf Matt Pvc Floor Curvv Mt-24 BLK (M),Car Accessories,1,1355.93,2.0,2711.86,100.0,C,
Grand Vitara Mud Flap TECHO,Other,4,1354.23,28.0,8001.45,490.85,C,
"Pioneer 4"" Speaker 210W/190W",Car Audio,1,1313.56,15.0,18008.47,1270.97,C,
Portronics Luxcell Mini 20K Power Bank,Other,1,1313.56,1.0,1355.93,3.23,C,
Mastech Digital Clamp Meter,Other,2,1300.0,7.0,4950.0,280.77,C,
TP-LINK POE SWITCH 6 PORT 10/100 MBPS,Networking,1,1271.19,8.0,10169.52,700.0,C,
Grande Vitara Trunk Dicky Mate GFX,Car Accessories,1,1271.19,3.0,3253.45,155.94,C,
RD Camera Normal 18MM Circle,CCTV & Security,2,1271.19,36.0,21355.92,1579.99,C,
Hikvision 8CH Power Supply,CCTV & Security,2,1271.18,40.0,25169.38,1880.0,C,
Aurite Bumper Protector Uni,Other,5,1228.8,30.0,7274.44,492.0,C,
Baleno 2022 Side Beading Chrome GFX,Other,1,1220.34,4.0,4617.19,278.35,C,
A-Star Tail Light Chrome Galio,Other,2,1218.76,,,,C,
CRYSTA WIND VISOR GFX,Car Accessories,1,1194.92,,,,C,
XUV-300 REAR PARCEL TRAY GFX,Other,1,1191.41,,,,C,
SELTOS 2026 TRUCK MAT ONWARDS GFX,Car Accessories,1,1186.44,,,,C,
Ertiga /GV Side Beading Galio,Other,1,1171.88,,,,C,
CP PLUS 2MP IP DUAL LIGHT BULLET CAMERA,CCTV & Security,1,1144.07,24.0,54194.87,4637.02,C,
T-6 DELTA TOWEL COVER MIX COLOUR,Other,1,1142.86,2.0,1476.19,29.17,C,
AERO ASSORTED P03 GODREJ,Other,13,1127.13,340.0,28442.5,2423.44,C,
Toreto Turbo Light 145W Charger,Other,2,1101.7,80.0,41813.33,3695.35,C,
LENOVO CLAMP FITTING CAMERA AHD,CCTV & Security,1,1101.69,,,,C,
HYP-2092 FM BT PLAYER,Car Audio,1,1101.69,,,,C,
LENOVO N/P DOME CAMERA AHD,CCTV & Security,1,1101.69,1.0,1525.42,38.46,C,
CURVE EV Trunk Mat GFX,Car Accessories,1,1093.75,,,,C,
Lumax Fog Lamp EECO W/O Wire Set,Car Accessories,2,1084.74,,,,C,
ZDRIVE CAR STEERING COVER BMW,Other,2,1059.32,3.0,1737.29,64.0,C,
Door Guard Flexe,Car Accessories,13,1025.44,25.0,2424.62,136.45,C,
VENUE 2025 ONW REAR PARCEL TRAY (IMP),Other,1,1016.95,,,,C,
Sonet Full Chrome Side Beading TECHO,Other,1,1016.95,1.0,1016.95,0.0,C,
RD Dome Normal Camera AHD N/P,CCTV & Security,1,1016.95,2.0,1652.54,62.5,C,
PORTRONICS MUFFS M6 BT HEADPHONE,Other,1,1016.95,1.0,1101.69,8.33,C,
FRONX REAR PARCEL TRAY GFX,Other,1,1016.95,2.0,2542.38,150.0,C,
Logitech W/L Mouse M170,Other,2,1016.94,40.0,19703.25,1837.5,C,
ATEK DC PIN,Other,120,1016.4,1953.0,16537.68,1527.08,C,
EXTER Window Frame Kit GFX,Other,1,974.58,4.0,2246.1,130.47,C,
Grand Vitara Blk With Chrome Side Beading Techo,Other,1,974.58,1.0,1218.75,25.05,C,
Aura Side Beading Chrome Falcon,Other,1,974.58,3.0,3559.33,265.22,C,
TI-5 Wet & Dry Vacuum Cleaner for Car,Other,1,974.58,9.0,8474.56,769.56,C,
Sonet Side Beading GFX,Other,1,974.58,2.0,2250.0,130.87,C,
Kia Carens 2022 Wind Visor SL,Car Accessories,1,949.15,16.0,20593.19,2069.65,C,
T-1 DELTA TOWEL/MIX,Other,1,933.33,,,,C,
RD Dome Moveing Line Camera AHD N/P,CCTV & Security,1,932.2,,,,C,
Tata Harrier Door Visor Safari-21,Car Accessories,1,932.2,,,,C,
Blockbuster DS 2.0 SOUND DAMPING SHEET,Other,2,932.2,23.0,10296.6,1004.55,C,
VICTORIUS 2025 DOOR VISOR SL GFX,Car Accessories,1,923.73,,,,C,
PERFUME INVOLVE ONYX,Other,3,915.24,,,,C,
Ertiga 2018 Door Visor SL Techo,Car Accessories,1,914.06,2.0,1644.53,79.91,C,
TECHO SIDE BEADING DZIRE 2024 BLK WITH CRM,Other,1,906.78,1.0,906.78,0.0,C,
T-2 DELTA TOWEL/MIX,Other,1,904.76,,,,C,
I-10 Grande Nios Head Light Cover,Other,1,898.44,,,,C,
CIAZ WIND VISOR SL GALIO,Car Accessories,1,889.83,7.0,5825.0,554.62,C,
Magnite Door Visor SL Galio,Car Accessories,1,889.83,7.0,6328.11,611.16,C,
Innova Hycross Wind Visor SL,Car Accessories,1,889.83,,,,C,
AHUJA 59XLR MICROPHONE,Other,1,889.83,,,,C,
TECHO PUNCH WIND VISOR SL,Car Accessories,1,889.83,1.0,722.54,-18.8,C,
Creta 2015 to 2018 Wind Visor SL Galio,Car Accessories,1,889.83,21.0,18164.17,1941.31,C,
TECHO Thar Roxx Door Visor SL,Car Accessories,1,886.72,,,,C,
Seltos Wind Visor SL,Car Accessories,1,881.36,5.0,4377.46,396.67,C,
CAT-6 INDOOR COPPER 305M BOX EON,Networking,25,847.5,,,,C,
Creta 2020 Wind Visor SL Galio,Car Accessories,1,847.46,32.0,24535.32,2795.16,C,
Altroz Silver Line Door Visor (12) Galio,Car Accessories,1,847.46,10.0,8014.46,845.7,C,
3M CREAM WAX 220g,Other,2,847.46,38.0,16101.74,1800.0,C,
TECHO Tata Punch Side Beading Full Chrome,Other,1,847.46,2.0,1486.62,75.42,C,
Brezza 2022 Door Visor SL GFX,Car Accessories,1,847.46,,,,C,
2.4MP HD IR Bullet Camera CP Plus 3.6mm,CCTV & Security,1,847.46,12.0,10211.86,1105.0,C,
I-10 Grand Nios-19 Door Visor SL,Car Accessories,1,843.75,12.0,8847.68,948.61,C,
Prevento Micro Fiber Cloth (40X40 1200GSM 1PCS),Other,4,839.28,50.0,11160.5,1229.77,C,
Exter Wind Visor SL Galio,Car Accessories,1,830.51,5.0,4003.71,382.08,C,
EECO Wind Visor SL Galio,Car Accessories,1,830.51,,,,C,
Kia Carens Side Beading GFX,Other,1,804.69,,,,C,
Portronics Clamp M Mobile Holder,Other,3,796.62,67.0,17898.52,2146.81,C,
Dzire 2017 Wind Visor SL,Car Accessories,1,788.14,13.0,13886.78,1661.97,C,
Dzire 2024 Wind Visor SL,Car Accessories,1,788.14,9.0,6210.22,687.96,C,
Brezza Full Chrome Side Beading Techo,Other,1,788.14,,,,C,
Swift 12 to 16 Head Light Crm,Other,1,773.44,,,,C,
Wagnor 2019 Foot Step Galio,Other,2,766.95,,,,C,
Tata Punch Door Sill,Other,2,766.95,3.0,910.88,18.77,C,
Nexon 2023 Side Beading GFX,Other,1,765.63,2.0,1695.31,121.43,C,
Baleno 2022 Foot Step Galio,Other,2,762.72,28.0,10175.34,1234.09,C,
Venue 2019 Wind Visor SL GFX,Car Accessories,1,762.71,1.0,826.27,8.33,C,
Ertiga 2025 Window Frame KIT GFX,Other,1,762.71,17.0,8881.4,1064.45,C,
Portronics Slide Mate 2 W/L Presenter White,Car Accessories,1,762.71,,,,C,
Tenda 5-Port Gigabit Destop Switch,Networking,1,762.71,1.0,847.46,11.11,C,
TECHO SIDE BEADING BALENO 2022 BLACK WITH CHR,Other,1,728.81,,,,C,
SELTOS 2026 WINDOW GARNISH GFX,Other,1,720.34,,,,C,
Beetel Caller ID Telephone C-51Plus,Other,1,720.34,8.0,5728.81,695.29,C,
Baleno 2022 Mud Flap TECHO,Other,3,711.87,30.0,6956.56,877.22,C,
Tata Punch Mud Flap TECHO,Other,3,711.86,11.0,2613.59,267.15,C,
Scorpio Wind Visor Galio,Car Accessories,1,711.86,1.0,609.38,-14.4,C,
Nexon 2020 Mud Flape TECHO,Other,3,695.31,1.0,234.38,-66.29,C,
TVS RC-72 AHD Reverse Camera,CCTV & Security,1,677.97,7.0,3771.19,456.25,C,
ZDRIVE CAR REARVIEW CAMERA 720P AHD/CVBS DOME,CCTV & Security,1,677.97,,,,C,
Block Buster 1080P AHD Camera F&R,CCTV & Security,1,677.97,1.0,1016.95,50.0,C,
Nexon 2023 Mud Flap TECHO,Other,3,677.96,35.0,8535.22,1158.96,C,
"Prevento Micro Fiber Cloth (30X60,400GSM, 1PCS)",Other,5,669.65,28.0,3660.76,446.67,C,
Dzire 2024 Mud Flap Techo,Other,3,652.53,37.0,8557.68,1211.46,C,
EECO WIND VISOR 10-17 (IM) Galio,Car Accessories,1,635.59,28.0,16679.73,2524.29,C,
D-Link 08Port 10/100 Desktop Switch,Networking,1,635.59,1.0,1313.56,106.67,C,
HIKVISION 64GB 3.0 PENDRIVE PLASTIC,CCTV & Security,1,635.59,67.0,30660.9,4724.01,C,
HIKVISION 32GB Pendrive Metal,CCTV & Security,1,635.59,1.0,526.27,-17.2,C,
Fronx Mud Flap TECHO,Other,3,635.58,46.0,11714.38,1743.1,C,
Swift 2018 Tail Light Chrome Galio,Other,1,632.81,1.0,585.94,-7.41,C,
Brezza 2022 Window Garnish Galio,Other,1,625.0,6.0,3437.5,450.0,C,
Sonet Head Light Chrome Galio,Other,1,614.41,,,,C,
Ertiga 2018 Window Frame Kit,Other,1,609.38,14.0,10275.83,1586.28,C,
Kia Carens Lower Garnish Galio,Other,1,609.38,2.0,1375.01,125.64,C,
TECHO Ciaz Side Beading BLK WITH CHROME,Other,1,593.22,,,,C,
TORETO 90W CHARGER,Other,1,593.22,,,,C,
VISTA Vinyl & Leather Shine 110ML,Other,5,593.2,1.0,118.64,-80.0,C,
Alto K-10 2022 Tail Light Galio,Other,1,585.94,,,,C,
Ertia 2018 Dicky Beading TECHO,Other,1,585.94,,,,C,
SELTOS HEAD LIGHT GALIO,Other,1,566.41,,,,C,
Swift 2018 Dicky Beading GFX,Other,1,558.59,,,,C,
Aura Window Garnish Galio,Other,1,550.85,3.0,1380.84,150.67,C,
TECHO Swift T3 (11-17) with Flexi Side Beading,Other,1,550.85,,,,C,
Baleno/Ignis Handle Crm S/Cut Galio,Other,1,550.85,26.0,11764.82,2035.76,C,
3M FOAM Cleaner Spray,Other,1,508.47,,,,C,
Brezza 16-19 Window Freme Kit,Other,1,507.81,,,,C,
Swift-11-17/dzire-12-16/brezza-16-19/ertiga-12-17,Other,1,507.81,,,,C,
Ertiga T-2 2018 Mudflape,Other,2,504.24,32.0,8233.69,1532.89,C,
Swift 2011 Side Beading Matt Blk,Car Accessories,1,495.76,5.0,2343.75,,C,
BBT-385 CAR CHARGER WITH 3+1 USB CABLE,Other,1,491.53,1.0,576.27,,C,
Car Number Palte Frame GFX,Other,2,487.28,23.0,2509.45,,C,
Wagnor 2019 Window Garnish GFX,Other,1,483.05,7.0,3101.67,,C,
TORETO W/L SPK WAVE MINI,Other,1,474.58,,,,C,
CULT GRIP STEERING COVER,Other,1,468.75,,,,C,
3M AS SHAMPOO 250ML,Other,2,466.1,27.0,5949.18,,C,
XUV-300 Window Frame Kit,Other,1,466.1,,,,C,
Beetel Telephone BLK C-11,Other,1,466.1,154.0,96450.73,,C,
Swift 2011 Window Garnish Kit GFX,Other,1,457.63,,,,C,
Brezza 2022 Fog Lamp Show Galio,Car Accessories,1,444.92,18.0,6924.28,,C,
Swift 2024 Mud Flap Techo,Other,2,440.67,28.0,5883.95,,C,
Tiago 2020 Mud Flap TECHO,Other,2,440.67,12.0,2729.51,,C,
Dzire 2024 Window Garnish GFX,Other,1,432.2,16.0,7253.43,,C,
Toreto Car Charger Turbo T-C Cable 20W,Other,1,423.73,,,,C,
Swift 2018 Door Catch Cover,Other,1,421.88,10.0,4062.5,,C,
Microfiber Cloth Hals Blue 5%,Other,4,400.01,,,,C,
EECO REAR ONLY Mud Flap Techo,Other,2,390.23,17.0,3492.23,,C,
VICTORIS DOOR SILL GUARD GALIO,Car Accessories,1,385.59,4.0,1322.02,,C,
Fronx Foor Step Sill,Other,1,381.36,3.0,1114.28,,C,
Kia Carens Foot Step,Other,1,381.36,,,,C,
PRIMER PROMOTER GALIO,Other,5,381.35,63.0,5262.69,,C,
VICTORIS MUD FLAP TECHO,Other,1,355.93,1.0,381.36,,C,
XUV-300 Foot Step Galio,Other,1,351.56,,,,C,
Seltos Foot Step,Other,1,351.56,,,,C,
VENUE 2025 MIRROR SASH GFX,Other,1,338.98,1.0,338.98,,C,
Panasonic Cell R03USDG (AAA) 10/-,Other,40,322.0,4.0,33.88,,C,
Digimro BNC Connector with Out Cable,Other,25,317.75,12056.0,141867.22,,C,
PERFUME AUTO MATE,Car Accessories,1,305.08,43.0,7555.12,,C,
Venue 2025 Mud Flap (IMP),Other,1,296.61,1.0,288.14,,C,
MY TVS MICROFIBER CLOTH TMC-31,Other,2,285.72,,,,C,
3M CAR LIQUED WAX 200ML,Other,1,279.66,22.0,6144.05,,C,
3M AS DASH BOARD DRESSER 250ml,Other,1,271.19,24.0,6508.56,,C,
3M Tyre DRESSER 250ML,Other,1,271.19,8.0,2177.98,,C,
RD HARD WIRE,Other,1,254.24,14.0,4894.1,,C,
Logitech USB Mouse M90,Other,1,254.24,49.0,22975.08,,C,
Air Pro Grandeur MiX Flavour,Other,1,254.24,4.0,1016.96,,C,
TORETO CAR MOBILE HOLDER GRIP VALOR,Other,1,254.24,,,,C,
Innova/fourtuner Uni Bumper Protector,Other,1,245.76,2.0,546.88,,C,
Grand Vitara Sleek Door Handle Crm GFX,Other,1,220.34,4.0,884.53,,C,
XUV-300 Mud Flap TECHO,Other,1,218.75,1.0,246.09,,C,
Alto K-10 2022 T-3 Mud Flap TECHO,Other,1,211.86,3.0,619.03,,C,
SIERRA 2025 LIFE LONG MATE GFX,Car Accessories,1,210.96,,,,C,
3M AS GLASS CLEANER 250ML,Other,1,194.92,35.0,6932.32,,C,
Air Pro Hanging Air Freshner Essentials,Other,2,169.5,37.0,3135.75,,C,
"My Tvs Crytal Wiper Blade 21""",Other,1,169.49,,,,C,
Magsol Rat Repellent 100ML,Other,1,169.49,2.0,381.36,,C,
Toreto Power Adaptor with Micro Cable VELO 1,Other,1,169.49,4.0,677.96,,C,
Blaupunkt Gel Perfume (Mix Flavour),Other,1,152.54,11.0,2796.64,,C,
"Lumax Standar Wiper Blade 17""",Other,1,148.31,,,,C,
Microfiber Cleaning Cloth,Other,1,144.07,3.0,449.15,,C,
PVC CLAMPS 12MM,Other,2,135.6,1.0,84.75,,C,
Wesaf Dash Board Polish 125 GM,Other,1,118.64,,,,C,
Portronics Toad 26 USB MOUSE,Other,1,110.17,,,,C,
Glass Cleaner 250ML HB,Other,1,84.75,,,,C,
Blaupunkt Microfiber Clean X850,Other,1,84.75,,,,C,
Aer O Car Hanging Perfume Mic Flavour,Other,1,76.27,51.0,3864.35,,C,
PVC CLAMPS 7MM,Other,2,50.84,16.0,499.95,,C,
Push Pull Long Stem Switch,Networking,1,42.37,17.0,762.67,,C,
Wind Screen Washer Fluid,Other,1,16.95,10.0,169.5,,C,
HYP-IBIZA,Other,100,1.5,100.0,1.5,,C,
